REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016/2017,"University of Prince Edward Island, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439354549,6.1.1.1.1.2.3.1,753,,,,0
2017/2018,"University of Prince Edward Island, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439354549,6.1.1.1.1.2.3.1,873,,,,0
2018/2019,"University of Prince Edward Island, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439354549,6.1.1.1.1.2.3.1,1011,,,,0
2019/2020,"University of Prince Edward Island, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439354549,6.1.1.1.1.2.3.1,1236,,,,0
2020/2021,"University of Prince Edward Island, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439354549,6.1.1.1.1.2.3.1,1305,,,,0
2021/2022,"University of Prince Edward Island, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439354549,6.1.1.1.1.2.3.1,1458,,,,0
2011/2012,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,60,,,,0
2012/2013,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,51,,,,0
2013/2014,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,33,,,,0
2014/2015,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,87,,,,0
2015/2016,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,102,,,,0
2016/2017,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,168,,,,0
2017/2018,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,348,,,,0
2018/2019,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,423,,,,0
2019/2020,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,666,,,,0
2020/2021,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,624,,,,0
2021/2022,"Holland College, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439386627,7.1.1.1.1.2.3.1,447,,,,0
2017/2018,"Collège de l'Île, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439410064,8.1.1.1.1.2.3.1,3,,,,0
