REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018/2019,"CÉGEP régional de Lanaudière à L'Assomption, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441404778,120.1.1.1.1.2.2.1,1866,,,,0
2019/2020,"CÉGEP régional de Lanaudière à L'Assomption, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441404778,120.1.1.1.1.2.2.1,1851,,,,0
2020/2021,"CÉGEP régional de Lanaudière à L'Assomption, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441404778,120.1.1.1.1.2.2.1,1878,,,,0
2021/2022,"CÉGEP régional de Lanaudière à L'Assomption, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441404778,120.1.1.1.1.2.2.1,1785,,,,0
2011/2012,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,54,,,,0
2012/2013,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,57,,,,0
2013/2014,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,48,,,,0
2014/2015,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,42,,,,0
2015/2016,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,48,,,,0
2016/2017,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,51,,,,0
