"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689788","2.1.8.3.1.2.2.1","165","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689792","2.1.8.3.1.2.3.1","12","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689855","2.1.8.4.1.2.2.1","27","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689859","2.1.8.4.1.2.3.1","6","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689924","2.1.8.5.1.2.2.1","8994","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689928","2.1.8.5.1.2.3.1","2535","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post-baccalaureate non-graduate program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690012","2.1.9.1.1.2.2.1","315","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post-baccalaureate non-graduate program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690016","2.1.9.1.1.2.3.1","0","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post-baccalaureate non-graduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690076","2.1.9.5.1.2.2.1","315","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post-baccalaureate non-graduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690080","2.1.9.5.1.2.3.1","0","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690278","2.1.13.1.1.2.2.1","753","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690282","2.1.13.1.1.2.3.1","1401","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690358","2.1.13.4.1.2.2.1","18","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690362","2.1.13.4.1.2.3.1","102","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690424","2.1.13.5.1.2.2.1","732","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690428","2.1.13.5.1.2.3.1","1299","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (third cycle)","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690508","2.1.14.1.1.2.2.1","576","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (third cycle)","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690512","2.1.14.1.1.2.3.1","429","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (third cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690618","2.1.14.5.1.2.2.1","576","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (third cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690622","2.1.14.5.1.2.3.1","429","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","11517","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","4425","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777189","3.1.1.3.1.2.2.1","246","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777193","3.1.1.3.1.2.3.1","12","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777287","3.1.1.4.1.2.2.1","378","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777291","3.1.1.4.1.2.3.1","150","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777395","3.1.1.5.1.2.2.1","10617","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777399","3.1.1.5.1.2.3.1","4263","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Other type of credential associated with a program","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777483","3.1.1.8.1.2.2.1","270","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Other type of credential associated with a program","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777487","3.1.1.8.1.2.3.1","0","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Not applicable, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777561","3.1.1.9.1.2.2.1","3","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777610","3.1.4.1.1.2.2.1","408","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777614","3.1.4.1.1.2.3.1","24","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777680","3.1.4.3.1.2.2.1","81","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777738","3.1.4.4.1.2.2.1","327","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777742","3.1.4.4.1.2.3.1","24","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777838","3.1.5.1.1.2.2.1","6","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777841","3.1.5.1.1.2.3.1","12","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777892","3.1.5.3.1.2.2.1","3","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777946","3.1.5.4.1.2.2.1","3","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777949","3.1.5.4.1.2.3.1","12","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Undergraduate program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778007","3.1.8.1.1.2.2.1","9186","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Undergraduate program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778011","3.1.8.1.1.2.3.1","2550","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Undergraduate program","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778093","3.1.8.3.1.2.2.1","165","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Undergraduate program","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778097","3.1.8.3.1.2.3.1","12","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Undergraduate program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778160","3.1.8.4.1.2.2.1","27","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Undergraduate program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778164","3.1.8.4.1.2.3.1","6","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Undergraduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778229","3.1.8.5.1.2.2.1","8994","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Undergraduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778233","3.1.8.5.1.2.3.1","2535","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post-baccalaureate non-graduate program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778317","3.1.9.1.1.2.2.1","315","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post-baccalaureate non-graduate program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778321","3.1.9.1.1.2.3.1","0","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post-baccalaureate non-graduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778381","3.1.9.5.1.2.2.1","315","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Post-baccalaureate non-graduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778385","3.1.9.5.1.2.3.1","0","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (second cycle)","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778583","3.1.13.1.1.2.2.1","753","","","","0"
