"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023/2024","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","520557","","","","0"
"2009/2010","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","21111","","","","0"
"2010/2011","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","21705","","","","0"
"2011/2012","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","21132","","","","0"
"2012/2013","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","21027","","","","0"
"2013/2014","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","20424","","","","0"
"2014/2015","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","20412","","","","0"
"2015/2016","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","20490","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","20433","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","19503","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","19629","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","19764","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","19773","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","19773","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","20934","","","","0"
"2023/2024","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608688336","2.1.1.1.1.2.1.1","20784","","","","0"
"2009/2010","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","20031","","","","0"
"2010/2011","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","20424","","","","0"
"2011/2012","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","19743","","","","0"
"2012/2013","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","19314","","","","0"
"2013/2014","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","18642","","","","0"
"2014/2015","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","18351","","","","0"
"2015/2016","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","18288","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","17982","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16764","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16569","","","","0"
