"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","15288","","","","0"
"2009/2010","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","14298","","","","0"
"2010/2011","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","14196","","","","0"
"2011/2012","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","14097","","","","0"
"2012/2013","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","13923","","","","0"
"2013/2014","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","13611","","","","0"
"2014/2015","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12996","","","","0"
"2015/2016","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12795","","","","0"
"2016/2017","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12678","","","","0"
"2017/2018","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12444","","","","0"
